url,page_type,page_title,meta_description,canonical_url,robots_directive,h1,primary_topic,location_target,course_target,detected_ctas,internal_links_count,content_status,seo_priority,notes,discovery_source,fetch_attempted,http_status,final_url,redirect_chain,fetch_status,evidence_status,last_checked_at
"https://www.asdm.co.in/blog/is-digital-marketing-a-good-career-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-jobs-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-salary-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-start-digital-marketing-after-12th/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-vs-data-science-career/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-career-without-coding/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/seo-vs-digital-marketing-career-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-skills-required-for-career-success/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/best-career-options-after-bba/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-career-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/career-scope-of-digital-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/why-digital-marketing-skills-in-ahmedabad-for-career-growth/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/seo-vs-digital-marketing-course-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/can-12th-pass-students-join-digital-marketing-course-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-for-housewife-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-ai-is-changing-digital-marketing-education-in-india/","blog-article","How AI is Changing Digital Marketing Education in India","An analysis of artificial intelligence integration in modern training programs.","","","How AI is Changing Digital Marketing Education in India","Industry Updates","None","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/how-ai-is-changing-digital-marketing-education-in-india/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/practical-training-in-digital-marketing-course/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-chrome-extensions-for-seo/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-build-a-personal-brand-on-social-media/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-5-free-analytics-tools-every-digital-marketer-should-use/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-syllabus-in-ahmedabad-updated-modules/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/google-ads-ppc-training-in-surat-learn-paid-advertising/","blog-article","Google Ads & PPC Training in Surat | Learn Paid Advertising","Guide to paid marketing course modules and practical PPC training in Surat.","","","Google Ads & PPC Training in Surat | Learn Paid Advertising","Paid Ads / PPC","Surat","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/google-ads-ppc-training-in-surat-learn-paid-advertising/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-ai-powered-digital-marketing-courses-in-india/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-course-in-ahmedabad-complete-guide/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-course-in-surat-complete-guide/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/best-courses-after-12th-with-high-salary-in-india/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-ai-is-are-changing-social-media-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-course-syllabus-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/asdm-student-success-stories/","blog-article","ASDM Student Success Stories and Alumni Placements","Read testimonials and placement details of ASDM graduates.","","","ASDM Student Success Stories","Alumni / Placements","None","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/asdm-student-success-stories/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/learn-seo-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-digital-marketing-institutes-in-gujarat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/career-after-digital-marketing-course-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-do-i-start-a-career-in-digital-marketing-from-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-is-graphic-designing-course-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-ai-tools-for-content-creation/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-choose-the-best-digital-marketing-course-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-is-answer-engine-optimization/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-skills/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-maximize-learning-from-your-digital-marketing-classes-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-generative-engine-optimization/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-internship-opportunities-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/page/2/","blog-index","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog feed index.","footer",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-is-the-qualification-for-digital-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-increase-website-organic-traffic/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/complete-guide-to-youtube-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-become-a-social-media-manager/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/benefits-of-local-seo-for-small-businesses/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-become-a-digital-marketing-expert-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-ai-powered-digital-marketing-course-in-ahmedabad-2025-with-placement/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/google-ai-mode/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-reasons-why-asdm-is-the-best-digital-marketing-institute-in-india-2025-edition/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/why-digital-marketing-is-the-best-career/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/complete-guide-on-google-business-profile/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/why-should-businesses-do-online-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-course-in-vadodara/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-are-the-benefits-of-a-digital-marketing-course/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/strategies-to-crack-digital-marketing-interview/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-digital-marketing-techniques-to-boost-sales/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-is-google-e-e-a-t/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/complete-guide-on-instagram-advertising/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-is-important-for-business-owner/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-13-activities-performed-by-digital-marketers-at-workplaces/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/top-10-highest-paying-digital-marketing-jobs-in-india-after-digital-marketing-course/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/is-digital-marketing-a-good-career-lets-find-out/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/affiliate-marketing-for-beginners-complete-guide/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/what-is-freelancing-amp-how-to-start-freelancing-job/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
